EmployeeNumber,Department,JobRole,JobLevel,Age,Gender,Attrition,JML_Status,AccessLevel,RiskScore,RiskLevel,YearsAtCompany,YearsInCurrentRole,BusinessTravel,OverTime,PerformanceRating,EmployeeID
315,Research & Development,Research Scientist,1,29,Male,Yes,Leaver,Write,80,Critical,4,3,Travel_Rarely,Yes,3,EMP0315
316,Research & Development,Laboratory Technician,1,52,Female,No,Stable,Read,10,Low,2,2,Travel_Rarely,No,3,EMP0316
319,Research & Development,Manager,5,42,Male,No,Stable,Write,35,Medium,22,17,Travel_Rarely,No,3,EMP0319
321,Human Resources,Human Resources,1,59,Male,No,Stable,Read,10,Low,2,2,Travel_Rarely,No,3,EMP0321
323,Sales,Manager,5,50,Female,No,Mover,Write,50,High,7,0,Travel_Rarely,No,3,EMP0323
325,Research & Development,Laboratory Technician,1,33,Male,Yes,Leaver,Read,60,High,5,4,Travel_Rarely,Yes,3,EMP0325
327,Sales,Manager,4,43,Female,No,Stable,Write,45,Medium,17,13,Travel_Rarely,Yes,4,EMP0327
328,Research & Development,Laboratory Technician,1,33,Female,Yes,Leaver,Read,60,High,9,7,Travel_Rarely,No,4,EMP0328
329,Sales,Manager,5,52,Male,No,Stable,Write,40,Medium,33,7,Non-Travel,Yes,3,EMP0329
330,Sales,Sales Representative,1,32,Female,No,Stable,Read,10,Low,4,3,Travel_Rarely,No,3,EMP0330
331,Research & Development,Laboratory Technician,1,32,Male,Yes,Leaver,Read,60,High,3,2,Travel_Rarely,Yes,3,EMP0331
332,Research & Development,Laboratory Technician,1,39,Female,No,Stable,Read,10,Low,3,2,Travel_Rarely,No,3,EMP0332
333,Sales,Sales Executive,2,32,Male,No,Stable,Write,15,Low,3,2,Non-Travel,No,3,EMP0333
334,Research & Development,Research Scientist,2,41,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0334
335,Research & Development,Research Scientist,2,40,Male,No,Stable,Write,30,Medium,9,8,Travel_Rarely,No,3,EMP0335
336,Research & Development,Manager,5,45,Male,No,Mover,Write,55,High,24,0,Travel_Rarely,No,3,EMP0336
337,Research & Development,Research Director,3,31,Male,No,Stable,Admin,40,Medium,2,2,Travel_Frequently,No,3,EMP0337
338,Research & Development,Research Scientist,1,33,Female,No,Stable,Write,20,Low,2,2,Travel_Rarely,No,3,EMP0338
339,Research & Development,Manufacturing Director,2,34,Male,No,Stable,Write,35,Medium,11,9,Travel_Rarely,No,3,EMP0339
340,Research & Development,Research Scientist,1,37,Female,No,Mover,Write,40,Medium,3,1,Travel_Rarely,No,3,EMP0340
341,Research & Development,Manufacturing Director,2,45,Male,No,Stable,Write,25,Low,3,2,Travel_Frequently,No,3,EMP0341
342,Research & Development,Manufacturing Director,3,37,Male,Yes,Leaver,Write,75,Critical,1,0,Travel_Frequently,No,3,EMP0342
343,Research & Development,Healthcare Representative,3,39,Female,No,Stable,Read,30,Medium,19,6,Travel_Frequently,No,4,EMP0343
346,Research & Development,Research Scientist,1,29,Male,No,Stable,Write,30,Medium,6,5,Travel_Rarely,No,3,EMP0346
347,Research & Development,Research Scientist,2,42,Female,No,Stable,Write,30,Medium,3,2,Travel_Rarely,Yes,3,EMP0347
349,Sales,Sales Executive,2,29,Male,No,Stable,Write,20,Low,3,2,Travel_Rarely,No,3,EMP0349
350,Research & Development,Manufacturing Director,2,25,Female,No,Stable,Write,20,Low,4,2,Travel_Rarely,No,3,EMP0350
351,Research & Development,Laboratory Technician,1,42,Female,No,Stable,Read,30,Medium,9,6,Travel_Rarely,Yes,3,EMP0351
352,Research & Development,Research Director,5,40,Male,No,Stable,Admin,50,High,21,7,Travel_Rarely,No,3,EMP0352
353,Research & Development,Research Scientist,1,51,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0353
355,Research & Development,Laboratory Technician,1,31,Male,Yes,Leaver,Read,55,High,5,4,Travel_Frequently,No,3,EMP0355
359,Research & Development,Laboratory Technician,1,32,Male,No,Mover,Read,35,Medium,5,1,Travel_Frequently,No,4,EMP0359
361,Sales,Sales Executive,2,38,Male,No,Stable,Write,25,Low,8,7,Non-Travel,No,3,EMP0361
362,Research & Development,Laboratory Technician,2,32,Male,No,Stable,Read,20,Low,6,2,Travel_Rarely,No,3,EMP0362
363,Sales,Manager,4,46,Female,No,Stable,Write,40,Medium,7,7,Travel_Rarely,Yes,3,EMP0363
364,Research & Development,Laboratory Technician,1,28,Male,Yes,Leaver,Read,60,High,0,0,Travel_Rarely,No,3,EMP0364
366,Sales,Sales Executive,2,29,Male,No,Mover,Write,50,High,0,0,Travel_Rarely,No,3,EMP0366
367,Research & Development,Healthcare Representative,2,31,Male,No,Mover,Read,40,Medium,9,0,Travel_Rarely,No,4,EMP0367
369,Research & Development,Healthcare Representative,2,25,Male,No,Stable,Read,15,Low,6,3,Non-Travel,No,3,EMP0369
372,Research & Development,Healthcare Representative,4,45,Male,No,Stable,Read,35,Medium,20,7,Travel_Rarely,Yes,3,EMP0372
373,Research & Development,Laboratory Technician,1,36,Male,No,Stable,Read,25,Low,15,13,Travel_Rarely,No,3,EMP0373
374,Research & Development,Manager,5,55,Male,No,Stable,Write,45,Medium,36,10,Travel_Rarely,Yes,3,EMP0374
376,Research & Development,Manager,3,47,Male,Yes,Leaver,Write,75,Critical,10,7,Non-Travel,Yes,3,EMP0376
377,Research & Development,Research Scientist,1,28,Male,No,Stable,Write,20,Low,5,2,Travel_Rarely,No,4,EMP0377
378,Sales,Sales Executive,2,37,Male,No,Stable,Write,30,Medium,5,4,Travel_Rarely,No,3,EMP0378
379,Research & Development,Research Scientist,1,21,Male,No,Stable,Write,30,Medium,3,2,Travel_Rarely,No,3,EMP0379
380,Research & Development,Research Director,3,37,Female,No,Stable,Admin,40,Medium,5,2,Non-Travel,Yes,3,EMP0380
381,Research & Development,Manager,3,35,Female,No,Stable,Write,30,Medium,7,7,Travel_Rarely,No,3,EMP0381
382,Sales,Sales Executive,2,38,Female,No,Mover,Write,60,High,8,0,Travel_Rarely,Yes,4,EMP0382
384,Research & Development,Manufacturing Director,2,26,Female,No,Stable,Write,35,Medium,6,5,Travel_Frequently,No,4,EMP0384
385,Research & Development,Research Director,5,50,Male,No,Stable,Admin,45,Medium,10,4,Travel_Rarely,No,3,EMP0385
386,Research & Development,Research Director,4,53,Male,No,Stable,Admin,45,Medium,5,3,Travel_Rarely,Yes,3,EMP0386
387,Sales,Sales Executive,2,42,Male,No,Stable,Write,35,Medium,20,16,Travel_Rarely,No,4,EMP0387
388,Sales,Sales Executive,2,29,Male,No,Stable,Write,35,Medium,10,7,Travel_Frequently,No,3,EMP0388
389,Research & Development,Laboratory Technician,2,55,Male,No,Stable,Read,30,Medium,10,7,Travel_Rarely,Yes,3,EMP0389
390,Research & Development,Healthcare Representative,2,26,Male,No,Stable,Read,25,Low,5,3,Travel_Frequently,Yes,3,EMP0390
391,Research & Development,Research Scientist,1,37,Female,No,Stable,Write,35,Medium,17,12,Travel_Rarely,No,3,EMP0391
392,Research & Development,Laboratory Technician,1,44,Male,Yes,Leaver,Read,75,Critical,1,0,Travel_Frequently,Yes,4,EMP0392
393,Research & Development,Healthcare Representative,2,38,Male,No,Stable,Read,10,Low,2,2,Travel_Rarely,No,3,EMP0393
394,Research & Development,Laboratory Technician,1,26,Male,Yes,Leaver,Read,60,High,3,2,Travel_Rarely,Yes,3,EMP0394
395,Research & Development,Research Scientist,1,28,Female,No,Stable,Write,20,Low,5,3,Travel_Rarely,No,4,EMP0395
396,Research & Development,Research Director,5,49,Female,No,Stable,Admin,50,High,3,2,Travel_Frequently,Yes,3,EMP0396
397,Research & Development,Research Scientist,2,36,Male,No,Mover,Write,50,High,8,0,Travel_Rarely,No,3,EMP0397
399,Sales,Sales Representative,1,31,Female,No,Stable,Read,15,Low,2,2,Travel_Frequently,No,3,EMP0399
401,Sales,Sales Executive,2,26,Male,Yes,Leaver,Write,80,Critical,8,7,Travel_Rarely,Yes,3,EMP0401
403,Research & Development,Research Scientist,1,37,Male,No,Stable,Write,35,Medium,4,2,Travel_Frequently,Yes,3,EMP0403
404,Sales,Sales Executive,4,42,Female,No,Stable,Write,40,Medium,20,4,Travel_Frequently,No,3,EMP0404
405,Research & Development,Laboratory Technician,1,18,Male,Yes,Leaver,Read,60,High,0,0,Travel_Rarely,No,3,EMP0405
406,Sales,Sales Executive,3,35,Male,No,Stable,Write,35,Medium,11,9,Travel_Rarely,No,3,EMP0406
407,Research & Development,Laboratory Technician,1,36,Male,No,Mover,Read,45,Medium,1,0,Travel_Frequently,No,3,EMP0407
408,Research & Development,Manufacturing Director,2,51,Male,No,Mover,Write,40,Medium,4,1,Travel_Rarely,No,3,EMP0408
410,Sales,Manager,4,41,Male,No,Stable,Write,35,Medium,22,10,Travel_Rarely,No,3,EMP0410
411,Sales,Sales Representative,1,18,Female,No,Mover,Read,40,Medium,0,0,Travel_Rarely,No,3,EMP0411
412,Research & Development,Healthcare Representative,2,28,Male,No,Stable,Read,20,Low,8,3,Travel_Rarely,No,3,EMP0412
416,Sales,Sales Executive,2,31,Male,No,Stable,Write,30,Medium,8,7,Travel_Rarely,No,3,EMP0416
417,Research & Development,Healthcare Representative,3,39,Male,No,Stable,Read,25,Low,18,10,Travel_Rarely,No,3,EMP0417
419,Research & Development,Laboratory Technician,2,36,Female,No,Stable,Read,15,Low,9,8,Non-Travel,No,3,EMP0419
420,Sales,Sales Executive,2,32,Male,No,Stable,Write,35,Medium,13,8,Travel_Rarely,No,3,EMP0420
421,Research & Development,Research Director,3,38,Female,No,Stable,Admin,55,High,10,8,Travel_Rarely,No,3,EMP0421
422,Research & Development,Healthcare Representative,2,58,Male,No,Stable,Read,15,Low,5,3,Non-Travel,Yes,3,EMP0422
423,Research & Development,Research Scientist,1,31,Male,No,Stable,Write,30,Medium,5,2,Travel_Rarely,Yes,3,EMP0423
424,Human Resources,Human Resources,2,31,Male,No,Stable,Read,20,Low,2,2,Travel_Rarely,No,3,EMP0424
425,Research & Development,Laboratory Technician,3,45,Male,No,Stable,Read,30,Medium,24,9,Travel_Frequently,No,3,EMP0425
426,Research & Development,Research Scientist,1,31,Male,No,Stable,Write,30,Medium,2,2,Travel_Rarely,Yes,3,EMP0426
428,Research & Development,Manager,3,33,Female,No,Stable,Write,35,Medium,10,6,Travel_Frequently,No,3,EMP0428
429,Research & Development,Manager,4,39,Male,No,Stable,Write,45,Medium,21,9,Travel_Rarely,Yes,3,EMP0429
430,Research & Development,Laboratory Technician,1,43,Female,No,Stable,Read,25,Low,8,7,Travel_Frequently,No,3,EMP0430
431,Research & Development,Healthcare Representative,4,49,Female,No,Mover,Read,50,High,7,1,Travel_Rarely,Yes,3,EMP0431
433,Research & Development,Research Scientist,2,52,Male,Yes,Leaver,Write,70,Critical,8,2,Travel_Rarely,No,3,EMP0433
434,Research & Development,Research Scientist,1,27,Female,No,Stable,Write,30,Medium,4,3,Travel_Rarely,Yes,3,EMP0434
436,Sales,Sales Executive,2,32,Female,No,Stable,Write,45,Medium,13,12,Travel_Rarely,Yes,3,EMP0436
437,Sales,Sales Executive,2,27,Male,No,Stable,Write,30,Medium,5,4,Travel_Rarely,Yes,3,EMP0437
438,Sales,Sales Executive,2,31,Male,No,Stable,Write,30,Medium,7,7,Travel_Rarely,No,3,EMP0438
439,Research & Development,Research Scientist,2,32,Female,No,Stable,Write,30,Medium,7,7,Travel_Rarely,No,3,EMP0439
440,Research & Development,Research Scientist,1,28,Male,Yes,Leaver,Write,70,Critical,3,2,Travel_Rarely,Yes,3,EMP0440
441,Research & Development,Research Scientist,2,30,Female,No,Stable,Write,30,Medium,10,8,Travel_Rarely,No,3,EMP0441
442,Research & Development,Manufacturing Director,3,31,Female,No,Stable,Write,35,Medium,10,9,Travel_Frequently,No,4,EMP0442
444,Research & Development,Manager,5,39,Male,No,Stable,Write,40,Medium,21,9,Travel_Frequently,No,3,EMP0444
445,Sales,Sales Executive,2,39,Female,Yes,Leaver,Write,80,Critical,1,0,Travel_Rarely,Yes,3,EMP0445
446,Sales,Sales Executive,2,33,Male,No,Stable,Write,45,Medium,7,7,Travel_Frequently,No,3,EMP0446
447,Research & Development,Research Director,5,47,Male,No,Stable,Admin,45,Medium,3,2,Travel_Rarely,No,3,EMP0447
448,Research & Development,Laboratory Technician,2,43,Female,No,Stable,Read,35,Medium,9,7,Travel_Frequently,No,3,EMP0448
449,Sales,Sales Executive,2,27,Male,No,Stable,Write,25,Low,5,4,Non-Travel,Yes,3,EMP0449
450,Research & Development,Research Scientist,2,54,Female,No,Stable,Write,25,Low,4,3,Travel_Frequently,No,3,EMP0450
451,Research & Development,Healthcare Representative,3,43,Female,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,3,EMP0451
452,Research & Development,Research Scientist,2,45,Male,No,Stable,Write,30,Medium,10,9,Travel_Rarely,No,3,EMP0452
453,Sales,Sales Executive,2,40,Male,No,Stable,Write,30,Medium,4,3,Travel_Rarely,Yes,4,EMP0453
454,Research & Development,Laboratory Technician,1,29,Male,Yes,Leaver,Read,70,Critical,7,7,Travel_Rarely,Yes,3,EMP0454
455,Research & Development,Laboratory Technician,1,29,Male,No,Stable,Read,10,Low,3,2,Travel_Rarely,No,3,EMP0455
456,Sales,Sales Executive,2,30,Female,No,Stable,Write,30,Medium,10,9,Travel_Rarely,No,3,EMP0456
458,Sales,Sales Executive,2,27,Female,No,Stable,Write,30,Medium,8,7,Travel_Rarely,No,3,EMP0458
460,Research & Development,Manufacturing Director,2,37,Male,No,Stable,Write,30,Medium,6,2,Travel_Rarely,No,3,EMP0460
461,Research & Development,Research Director,3,38,Male,No,Stable,Admin,60,High,11,10,Travel_Rarely,Yes,3,EMP0461
462,Research & Development,Manufacturing Director,3,31,Female,No,Stable,Write,45,Medium,11,9,Travel_Rarely,Yes,3,EMP0462
463,Sales,Sales Executive,2,29,Female,No,Stable,Write,40,Medium,7,7,Travel_Rarely,Yes,3,EMP0463
464,Research & Development,Manufacturing Director,3,35,Male,No,Stable,Write,35,Medium,16,6,Travel_Rarely,No,3,EMP0464
465,Research & Development,Research Scientist,1,23,Male,No,Stable,Write,20,Low,4,2,Travel_Rarely,No,3,EMP0465
466,Research & Development,Manufacturing Director,2,41,Male,No,Stable,Write,30,Medium,5,4,Travel_Rarely,Yes,3,EMP0466
467,Sales,Sales Representative,2,47,Male,No,Mover,Read,45,Medium,0,0,Travel_Frequently,No,3,EMP0467
468,Research & Development,Research Director,4,42,Female,No,Mover,Admin,65,High,1,0,Travel_Rarely,No,3,EMP0468
469,Sales,Sales Executive,2,29,Male,No,Stable,Write,15,Low,4,3,Non-Travel,No,3,EMP0469
470,Human Resources,Human Resources,1,42,Male,No,Stable,Read,30,Medium,3,2,Travel_Rarely,Yes,3,EMP0470
471,Research & Development,Laboratory Technician,1,32,Female,No,Mover,Read,40,Medium,8,0,Travel_Rarely,No,3,EMP0471
473,Sales,Manager,3,48,Female,No,Mover,Write,50,High,0,0,Travel_Rarely,No,4,EMP0473
474,Research & Development,Research Scientist,2,37,Male,No,Stable,Write,40,Medium,7,7,Travel_Rarely,Yes,3,EMP0474
475,Sales,Sales Executive,2,30,Female,No,Stable,Write,25,Low,2,2,Non-Travel,Yes,3,EMP0475
476,Sales,Sales Executive,2,26,Male,No,Stable,Write,30,Medium,8,7,Travel_Rarely,No,3,EMP0476
477,Research & Development,Healthcare Representative,2,42,Male,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,4,EMP0477
478,Sales,Sales Representative,1,21,Female,Yes,Leaver,Read,65,High,3,2,Travel_Frequently,Yes,3,EMP0478
479,Sales,Sales Executive,2,36,Female,No,Mover,Write,45,Medium,1,0,Non-Travel,No,3,EMP0479
481,Sales,Sales Executive,3,36,Male,No,Stable,Write,40,Medium,13,9,Travel_Frequently,No,3,EMP0481
482,Research & Development,Healthcare Representative,2,57,Male,No,Stable,Read,10,Low,3,2,Travel_Rarely,No,3,EMP0482
483,Research & Development,Laboratory Technician,1,40,Female,No,Stable,Read,30,Medium,7,7,Travel_Rarely,Yes,3,EMP0483
484,Sales,Sales Representative,1,21,Male,No,Stable,Read,5,Low,3,2,Non-Travel,No,4,EMP0484
485,Sales,Sales Representative,1,33,Female,Yes,Leaver,Read,70,Critical,1,0,Travel_Rarely,Yes,3,EMP0485
486,Research & Development,Laboratory Technician,1,37,Female,No,Stable,Read,10,Low,5,4,Travel_Rarely,No,4,EMP0486
487,Research & Development,Manufacturing Director,2,46,Female,No,Mover,Write,45,Medium,1,0,Non-Travel,No,3,EMP0487
488,Sales,Sales Executive,2,41,Male,Yes,Leaver,Write,75,Critical,8,7,Travel_Frequently,No,3,EMP0488
491,Research & Development,Healthcare Representative,3,50,Male,No,Stable,Read,10,Low,4,3,Travel_Rarely,No,3,EMP0491
492,Sales,Sales Executive,2,40,Male,Yes,Leaver,Write,90,Critical,6,4,Travel_Rarely,Yes,3,EMP0492
493,Research & Development,Research Scientist,1,31,Male,No,Stable,Write,30,Medium,2,2,Travel_Rarely,Yes,3,EMP0493
494,Sales,Sales Representative,1,21,Female,Yes,Leaver,Read,60,High,1,0,Travel_Rarely,No,3,EMP0494
495,Research & Development,Research Scientist,1,29,Male,No,Stable,Write,20,Low,3,2,Travel_Rarely,No,3,EMP0495
496,Research & Development,Healthcare Representative,2,35,Male,No,Mover,Read,40,Medium,1,1,Travel_Rarely,No,3,EMP0496
497,Research & Development,Laboratory Technician,1,27,Male,No,Stable,Read,10,Low,5,2,Travel_Rarely,No,3,EMP0497
498,Sales,Sales Executive,2,28,Male,No,Stable,Write,30,Medium,7,5,Travel_Rarely,No,3,EMP0498
499,Research & Development,Healthcare Representative,3,49,Male,No,Stable,Read,20,Low,5,2,Travel_Rarely,No,4,EMP0499
500,Sales,Sales Executive,2,51,Female,No,Stable,Write,30,Medium,7,7,Travel_Rarely,No,3,EMP0500
501,Research & Development,Research Scientist,1,36,Female,No,Stable,Write,20,Low,2,2,Travel_Rarely,No,3,EMP0501
502,Sales,Sales Executive,2,34,Male,Yes,Leaver,Write,65,High,5,2,Non-Travel,Yes,3,EMP0502
505,Research & Development,Manager,4,55,Female,No,Stable,Write,30,Medium,5,4,Travel_Rarely,Yes,3,EMP0505
507,Sales,Sales Executive,2,24,Female,No,Stable,Write,30,Medium,5,2,Travel_Rarely,Yes,3,EMP0507
508,Sales,Sales Representative,1,30,Male,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,3,EMP0508
510,Research & Development,Research Scientist,1,26,Male,Yes,Leaver,Write,75,Critical,6,4,Travel_Frequently,No,4,EMP0510
511,Research & Development,Research Scientist,1,22,Female,No,Mover,Write,40,Medium,2,1,Travel_Rarely,No,3,EMP0511
513,Sales,Sales Executive,3,36,Male,No,Stable,Write,40,Medium,10,9,Travel_Rarely,No,3,EMP0513
514,Research & Development,Research Scientist,1,30,Male,Yes,Leaver,Write,85,Critical,1,0,Travel_Frequently,Yes,4,EMP0514
515,Research & Development,Laboratory Technician,1,37,Female,No,Stable,Read,25,Low,18,7,Travel_Rarely,No,3,EMP0515
516,Sales,Sales Executive,2,40,Female,No,Stable,Write,20,Low,5,4,Travel_Rarely,No,3,EMP0516
517,Research & Development,Laboratory Technician,1,42,Female,No,Stable,Read,10,Low,5,2,Travel_Rarely,No,3,EMP0517
518,Research & Development,Manufacturing Director,2,37,Male,No,Mover,Write,60,High,1,0,Travel_Rarely,Yes,3,EMP0518
520,Research & Development,Research Director,4,43,Male,No,Stable,Admin,50,High,25,10,Travel_Rarely,No,3,EMP0520
521,Research & Development,Laboratory Technician,2,40,Female,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,4,EMP0521
522,Research & Development,Research Director,5,54,Male,No,Stable,Admin,35,Medium,4,2,Travel_Rarely,No,3,EMP0522
523,Sales,Sales Executive,2,34,Female,No,Stable,Write,15,Low,3,2,Non-Travel,No,3,EMP0523
524,Research & Development,Manufacturing Director,2,31,Female,No,Stable,Write,35,Medium,13,10,Travel_Rarely,No,3,EMP0524
525,Research & Development,Laboratory Technician,1,43,Male,No,Stable,Read,15,Low,3,2,Travel_Frequently,No,4,EMP0525
526,Research & Development,Healthcare Representative,2,43,Female,No,Stable,Read,20,Low,5,2,Travel_Rarely,Yes,3,EMP0526
527,Sales,Sales Executive,2,25,Female,No,Stable,Write,30,Medium,5,4,Travel_Rarely,Yes,3,EMP0527
529,Research & Development,Research Scientist,2,37,Female,No,Stable,Write,40,Medium,13,11,Non-Travel,Yes,3,EMP0529
530,Research & Development,Laboratory Technician,1,31,Male,No,Stable,Read,10,Low,4,2,Travel_Rarely,No,3,EMP0530
531,Research & Development,Manager,5,39,Male,No,Stable,Write,50,High,21,8,Travel_Frequently,Yes,3,EMP0531
532,Sales,Sales Executive,4,56,Female,No,Stable,Write,35,Medium,7,7,Travel_Frequently,No,3,EMP0532
533,Sales,Sales Executive,2,30,Female,No,Stable,Write,20,Low,5,4,Travel_Rarely,No,3,EMP0533
534,Sales,Sales Executive,3,41,Male,No,Stable,Write,30,Medium,10,7,Travel_Rarely,No,3,EMP0534
536,Research & Development,Laboratory Technician,2,28,Male,No,Mover,Read,40,Medium,10,0,Travel_Rarely,No,3,EMP0536
538,Research & Development,Laboratory Technician,1,25,Male,Yes,Leaver,Read,50,High,2,2,Travel_Rarely,No,3,EMP0538
543,Research & Development,Manufacturing Director,3,52,Male,No,Stable,Write,30,Medium,5,4,Travel_Rarely,Yes,3,EMP0543
544,Research & Development,Research Scientist,1,45,Male,No,Stable,Write,20,Low,2,2,Travel_Rarely,No,4,EMP0544
546,Research & Development,Manager,4,52,Female,No,Stable,Write,20,Low,5,2,Travel_Rarely,No,3,EMP0546
547,Research & Development,Research Scientist,2,42,Female,No,Stable,Write,25,Low,5,4,Travel_Frequently,No,3,EMP0547
548,Research & Development,Manufacturing Director,2,30,Female,No,Stable,Write,20,Low,5,4,Travel_Rarely,No,4,EMP0548
549,Research & Development,Manager,5,60,Female,No,Stable,Write,35,Medium,29,8,Travel_Rarely,No,3,EMP0549
550,Research & Development,Manufacturing Director,2,46,Female,No,Stable,Write,30,Medium,10,7,Travel_Rarely,No,3,EMP0550
551,Research & Development,Healthcare Representative,2,42,Female,No,Stable,Read,25,Low,6,5,Travel_Frequently,No,3,EMP0551
554,Sales,Sales Representative,1,24,Female,Yes,Leaver,Read,60,High,5,3,Travel_Rarely,Yes,3,EMP0554
555,Sales,Sales Representative,1,34,Female,Yes,Leaver,Read,65,High,2,2,Travel_Frequently,No,3,EMP0555
556,Research & Development,Laboratory Technician,1,38,Male,No,Mover,Read,55,High,1,0,Travel_Frequently,Yes,4,EMP0556
558,Sales,Manager,5,40,Female,No,Stable,Write,35,Medium,20,15,Travel_Rarely,No,3,EMP0558
560,Research & Development,Research Scientist,1,26,Female,No,Stable,Write,20,Low,3,2,Travel_Rarely,No,4,EMP0560
562,Research & Development,Laboratory Technician,1,30,Male,No,Stable,Read,5,Low,5,3,Non-Travel,No,3,EMP0562
564,Research & Development,Research Director,3,29,Male,No,Stable,Admin,45,Medium,10,2,Travel_Rarely,No,3,EMP0564
565,Research & Development,Research Scientist,1,29,Female,Yes,Leaver,Write,70,Critical,2,2,Travel_Rarely,No,3,EMP0565
566,Human Resources,Human Resources,1,19,Male,Yes,Leaver,Read,60,High,1,0,Travel_Rarely,No,3,EMP0566
567,Sales,Sales Executive,3,30,Female,No,Stable,Write,25,Low,9,8,Non-Travel,No,3,EMP0567
568,Sales,Manager,4,57,Male,No,Mover,Write,50,High,1,0,Travel_Rarely,No,3,EMP0568
569,Research & Development,Manager,4,50,Male,No,Stable,Write,35,Medium,27,10,Travel_Rarely,No,3,EMP0569
571,Research & Development,Laboratory Technician,1,30,Female,No,Stable,Read,20,Low,11,7,Non-Travel,No,3,EMP0571
573,Sales,Sales Executive,3,60,Female,No,Stable,Write,40,Medium,18,13,Travel_Frequently,No,3,EMP0573
574,Research & Development,Manufacturing Director,2,47,Female,No,Mover,Write,40,Medium,5,0,Travel_Rarely,No,3,EMP0574
575,Research & Development,Research Director,4,46,Male,No,Stable,Admin,45,Medium,3,2,Travel_Rarely,No,3,EMP0575
577,Research & Development,Laboratory Technician,1,35,Male,No,Stable,Read,10,Low,5,4,Travel_Rarely,No,3,EMP0577
578,Research & Development,Laboratory Technician,2,54,Female,No,Mover,Read,40,Medium,1,0,Travel_Rarely,No,3,EMP0578
579,Research & Development,Research Scientist,1,34,Male,No,Stable,Write,30,Medium,7,3,Travel_Rarely,No,3,EMP0579
580,Sales,Sales Executive,3,46,Female,No,Stable,Write,30,Medium,3,2,Travel_Rarely,Yes,3,EMP0580
581,Research & Development,Manufacturing Director,3,31,Male,No,Stable,Write,35,Medium,13,8,Travel_Rarely,No,4,EMP0581
582,Research & Development,Manager,3,33,Male,Yes,Leaver,Write,80,Critical,7,6,Travel_Rarely,Yes,3,EMP0582
584,Research & Development,Laboratory Technician,1,33,Male,Yes,Leaver,Read,50,High,4,3,Travel_Rarely,No,3,EMP0584
585,Sales,Sales Representative,1,30,Male,No,Stable,Read,10,Low,3,2,Travel_Rarely,No,3,EMP0585
586,Research & Development,Healthcare Representative,3,35,Male,No,Stable,Read,40,Medium,8,7,Travel_Rarely,Yes,3,EMP0586
587,Research & Development,Healthcare Representative,3,31,Male,Yes,Leaver,Read,65,High,1,0,Travel_Frequently,No,3,EMP0587
590,Human Resources,Human Resources,3,34,Female,Yes,Leaver,Read,65,High,3,2,Travel_Frequently,Yes,3,EMP0590
591,Research & Development,Laboratory Technician,1,42,Male,No,Stable,Read,25,Low,2,2,Travel_Frequently,No,3,EMP0591
592,Sales,Sales Executive,3,36,Male,No,Stable,Write,25,Low,10,3,Non-Travel,No,3,EMP0592
593,Research & Development,Laboratory Technician,1,22,Male,Yes,Leaver,Read,55,High,2,2,Travel_Frequently,No,3,EMP0593
595,Sales,Sales Executive,2,48,Female,No,Stable,Write,30,Medium,9,7,Travel_Rarely,No,3,EMP0595
597,Sales,Manager,4,55,Female,No,Stable,Write,30,Medium,10,9,Travel_Rarely,No,4,EMP0597
599,Sales,Sales Executive,2,41,Male,No,Stable,Write,30,Medium,14,3,Non-Travel,No,3,EMP0599
600,Sales,Sales Executive,2,35,Male,No,Stable,Write,35,Medium,11,9,Travel_Rarely,No,3,EMP0600
601,Research & Development,Manufacturing Director,4,40,Female,No,Stable,Write,35,Medium,20,6,Travel_Rarely,No,3,EMP0601
602,Research & Development,Laboratory Technician,1,39,Female,No,Stable,Read,25,Low,8,3,Travel_Frequently,No,3,EMP0602
604,Sales,Sales Executive,2,31,Male,No,Stable,Write,40,Medium,6,5,Travel_Rarely,Yes,3,EMP0604
605,Research & Development,Manufacturing Director,3,42,Male,No,Stable,Write,40,Medium,10,9,Travel_Rarely,Yes,4,EMP0605
606,Sales,Sales Executive,2,45,Male,No,Stable,Write,30,Medium,8,7,Travel_Rarely,No,3,EMP0606
608,Human Resources,Human Resources,1,26,Female,Yes,Leaver,Read,85,Critical,7,7,Travel_Frequently,Yes,3,EMP0608
611,Research & Development,Manufacturing Director,2,29,Male,No,Stable,Write,20,Low,3,2,Travel_Rarely,No,3,EMP0611
612,Research & Development,Research Director,4,33,Female,No,Mover,Admin,65,High,6,1,Travel_Rarely,No,3,EMP0612
613,Sales,Manager,3,31,Male,No,Stable,Write,30,Medium,5,4,Travel_Rarely,No,4,EMP0613
614,Sales,Sales Representative,1,18,Male,Yes,Leaver,Read,75,Critical,0,0,Travel_Frequently,Yes,3,EMP0614
615,Sales,Sales Executive,3,40,Male,No,Mover,Write,45,Medium,1,0,Non-Travel,No,3,EMP0615
616,Research & Development,Healthcare Representative,2,41,Female,No,Stable,Read,25,Low,8,7,Non-Travel,Yes,3,EMP0616
